sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
1,purchase,08/11/2023,,152-012671DR,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,126.71,126.71,,1.00
2,purchase,16/11/2023,,1161432421MED,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,15.00,15.00,,1.00
3,expense,16/11/2023,,Invoices_Week_21_Year_2024_p3,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521 | Name: CSG AMBIENT REBATE Name: HARSTON CONVENIENCE Costcutter Supermakets Ltd. | Address: UNKNOWN Address: COSTCUTTER Address: Harvest Mills | Post Code: Post Code: CB22 7PX Post Code: YO19 5RY | VAT Number: 847206620 | Product Pack Product Qty Unit Value VAT Discount | CAT % Net VAT Gross Discount Total",,,847 2066 20,,,,1.00
4,purchase,09/11/2023,,979721,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,216.05,216.05,,2.75
5,purchase,06/11/2023,,20231106116143FC,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,43.92,43.92,,6.00
6,purchase,06/11/2023,,20231106116143FA,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,21.96,21.96,,3.00
7,expense,16/11/2023,,Invoices_Week_21_Year_2024_p7,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521 | Name: FUEL SURCHARGES AMBIEName: HARSTON CONVENIENCE Costcutter Supermakets Ltd. | Address: UNKNOWN Address: COSTCUTTER Address: Harvest Mills | Post Code: Post Code: CB22 7PX Post Code: YO19 5RY | VAT Number: 847206620 | Product Pack Product Qty Unit Value VAT Discount | CAT % Net VAT Gross Discount Total",,,847 2066 20,259.13,259.13,,1.00
8,purchase,09/11/2023,,I4655707,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
9,purchase,,,I4655707,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,351.20,351.20,,1.00
10,purchase,10/11/2023,,I4656810,"Costcutter Supermarkets Group Ltd | Harvest Mills, Dunnington, York. YO19 5RY | Vat No. : 847 2066 20 Fax : 01904 488540 AWRS URN: XWAW00000104521",,,847 2066 20,,,,1.00
