sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
1,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
2,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
3,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
4,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
5,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
6,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
7,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
8,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
9,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
10,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
11,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
12,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
13,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
14,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
15,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
16,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
17,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
18,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
19,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
20,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
21,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
22,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
23,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
24,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
25,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
26,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
27,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
28,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
29,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
30,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
31,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
32,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
33,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
34,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
35,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
36,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
37,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
38,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
39,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
40,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
41,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
42,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
43,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
44,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
45,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
46,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
47,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
