sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
1,purchase,,,Paid,,,,,124.99,124.99,N/A,
2,purchase,,,Paid,,,,,9.99,9.99,N/A,
3,purchase,,,INV-GB-1041364258-2024-6-155,,,,,29.42,29.42,N/A,5.88
4,purchase,,,Paid,,,,,4.24,4.24,N/A,
5,purchase,,,Paid,,,,,3.99,3.99,N/A,
6,purchase,,,Paid,,,,,9.87,9.87,N/A,
7,purchase,,2013 1 £16.05 20% £19.26 £19.26,Paid,,,,,19.26,19.26,N/A,
8,purchase,,,Paid,,,,,21.98,21.98,N/A,
9,purchase,,,Paid,,,,,39.98,39.98,N/A,
10,purchase,,,Paid,,,,,6.99,6.99,N/A,
11,purchase,,,Paid,,,,,12.29,12.29,N/A,
12,purchase,,,Paid,,,,,118.99,118.99,N/A,
13,purchase,,has self-declared to not have an obligation to register for VAT purposes within the European Union and not be subjected,ID,,,,,84.99,84.99,N/A,
14,purchase,,,Paid,,,,,15.99,15.99,N/A,
15,purchase,,,Paid,,,,,35.09,35.09,N/A,
16,purchase,,,Paid,,,,,13.49,13.49,N/A,
17,purchase,,,Paid,,,,,9.75,9.75,N/A,
18,purchase,,,Paid,,,,,19.99,19.99,N/A,
19,purchase,,,Paid,,,,,8.99,8.99,N/A,
20,purchase,,,Paid,,,,,3.91,3.91,N/A,
21,purchase,,,Paid,,,,,29.99,29.99,N/A,
22,purchase,,,Paid,,,,,63.80,63.80,N/A,
23,purchase,,,Paid,,,,,21.99,21.99,N/A,
24,purchase,,,Paid,,,,,26.99,26.99,N/A,
25,purchase,,France,Paid,,,,,9.98,9.98,N/A,
26,purchase,,,Paid,,,,,23.99,23.99,N/A,
27,purchase,,,Paid,,,,,17.12,17.12,N/A,
28,purchase,,,Invoice,,,,,,,N/A,
29,purchase,,,Paid,,,,,12.34,12.34,N/A,
30,purchase,,,Paid,,,,,18.10,18.10,N/A,
31,purchase,,,ID,,,,,25.49,25.49,N/A,
32,purchase,,,Paid,,,,,20.75,20.75,N/A,
33,purchase,,,Paid,,,,,14.99,14.99,N/A,
34,purchase,,,Paid,,,,,30.59,30.59,N/A,
35,purchase,,,Paid,,,,,11.00,11.00,N/A,
36,purchase,,,Paid,,,,,19.99,19.99,N/A,
37,purchase,,,Paid,,,,,14.99,14.99,N/A,
38,purchase,,,Paid,,,,,8.37,8.37,N/A,
39,purchase,,,Paid,,,,,63.60,63.60,N/A,
40,purchase,,,Paid,,,,,20.49,20.49,N/A,
41,purchase,,,Paid,,,,,6.27,6.27,N/A,
42,purchase,,,Paid,,,,,12.99,12.99,N/A,
43,purchase,,,Paid,,,,,12.89,12.89,N/A,
44,purchase,,,Paid,,,,,115.87,115.87,N/A,
45,purchase,,,Paid,,,,,17.11,17.11,N/A,
46,purchase,,,Paid,,,,,13.40,13.40,N/A,
47,purchase,,,Paid,,,,,21.49,21.49,N/A,
48,purchase,,,Paid,,,,,5.99,5.99,N/A,
49,purchase,,,Paid,,,,,21.98,21.98,N/A,
50,purchase,,,Paid,,,,,9.07,9.07,N/A,
51,purchase,,,Paid,,,,,12.99,12.99,N/A,
52,purchase,,,Paid,,,,,49.99,49.99,N/A,
53,purchase,,,ID,,,,,16.99,16.99,N/A,
54,purchase,,Spain,Paid,,,,,89.58,89.58,N/A,
55,purchase,,,Paid,,,,,12.99,12.99,N/A,
56,purchase,,,Paid,,,,,13.99,13.99,N/A,
57,purchase,,,Paid,,,,,3.86,3.86,N/A,
58,purchase,,,Paid,,,,,28.79,28.79,N/A,
59,purchase,,Germany,Paid,,,,,27.41,27.41,N/A,
60,purchase,,,Paid,,,,,7.99,7.99,N/A,
61,purchase,,,Paid,,,,,25.89,25.89,N/A,
62,purchase,,,Paid,,,,,4.95,4.95,N/A,
63,purchase,,,Paid,,,,,4.25,4.25,N/A,
64,purchase,,,Paid,,,,,4.99,4.99,N/A,
65,purchase,,,Paid,,,,,63.80,63.80,N/A,
66,purchase,,,Paid,,,,,19.99,19.99,N/A,
