sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
1,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p1,,,,,,,N/A,
2,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p2,,,,,,,N/A,
3,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p3,,,,,,,N/A,
4,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p4,,,,,,,N/A,
5,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p5,,,,,,,N/A,
6,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p6,,,,,,,N/A,
7,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p7,,,,,,,N/A,
8,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p8,,,,,,,N/A,
9,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p9,,,,,,,N/A,
10,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p10,,,,,,,N/A,
11,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p11,,,,,,,N/A,
12,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p12,,,,,,,N/A,
13,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p13,,,,,,,N/A,
14,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p14,,,,,,,N/A,
15,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p15,,,,,,,N/A,
16,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p16,,,,,,,N/A,
17,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p17,,,,,,,N/A,
18,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p18,,,,,,,N/A,
19,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p19,,,,,,,N/A,
20,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p20,,,,,,,N/A,
21,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p21,,,,,,,N/A,
22,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p22,,,,,,,N/A,
23,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p23,,,,,,,N/A,
24,purchase,,Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,AUTOTRADER INVOICES - FOLDER 2_p24,,,,,,,N/A,
